"Date","TSS"
2006-01-26,348
2006-01-27,522
2006-01-27,361
2006-01-28,151
2006-01-29,473
2006-01-30,879
2006-04-11,648
2006-04-11,619
2006-04-11,635
2006-04-11,658
2006-04-11,666
2006-04-12,622
2006-04-12,574
2006-04-12,540
2006-04-12,517
2006-04-13,385
2006-04-13,382
2006-04-13,361
2006-04-13,392
2006-04-14,495
2006-04-14,387
2006-04-15,281
2006-04-15,280
2006-04-16,279
2006-04-16,251
2006-04-17,269
2006-04-17,260
2006-04-19,242
2006-04-19,267
2006-04-21,204
2006-04-21,186
2007-01-23,79
2007-01-24,194
2007-01-25,436
2007-01-26,1310
2007-01-27,561
2007-01-28,107
2007-01-29,1280
2007-01-30,1720
2007-01-31,773
2007-02-01,505
2007-02-02,2310
2007-02-02,2670
2007-02-03,2940
2007-02-03,3060
2007-02-04,690
2007-02-04,434
2007-02-05,326
2007-02-06,288
2007-02-07,337
2007-02-08,303
2007-02-09,257
2007-02-12,185
2007-02-13,181
2007-12-27,323
2007-12-28,444
2007-12-29,434
2007-12-30,262
2007-12-31,480
2008-01-01,237
2008-01-02,135
2008-01-03,61
2008-01-04,30
2008-01-05,51
2008-01-06,57
2008-01-07,47
2008-01-08,73
2008-01-09,72
2008-01-13,770
2008-01-14,774
2008-01-15,864
2008-01-16,1170
2008-01-17,812
2008-01-18,690
2008-01-21,267
2008-01-22,160
2008-01-23,130
2008-01-24,128
2008-01-25,131
2008-01-27,88
2008-01-29,44
2008-01-30,38
2008-02-01,40
2008-02-04,30
2008-02-06,30
2008-02-08,412
2008-02-11,584
2008-02-12,1430
2008-02-12,1970
2008-02-13,1310
2008-02-13,1080
2008-02-14,630
2008-02-15,598
2008-02-15,754
2008-02-18,406
2008-02-19,395
2008-02-20,254
2008-02-21,173
2008-02-22,121
2008-02-25,77
2008-02-26,85
2008-02-27,55
2008-02-28,88
2008-02-29,91
2009-01-08,359
2009-01-09,219
2009-01-10,302
2009-01-11,280
2009-01-12,282
2009-01-13,294
2009-01-14,301
2009-01-15,273
2009-01-16,536
2009-01-17,373
2009-01-18,266
2009-01-19,238
2009-01-20,230
2009-01-21,201
2009-01-22,199
2009-01-23,224
2009-01-25,189
2009-01-27,212
2009-01-28,310
2009-01-29,377
2009-01-30,409
2009-01-31,294
2009-02-01,227
2009-02-02,189
2009-02-03,530
2009-02-04,204
2009-02-05,704
2009-02-09,242
2009-02-10,301
2009-02-11,205
2009-02-12,242
2009-02-13,366
2009-02-14,346
2009-02-16,343
2009-02-17,295
2009-02-18,197
2009-02-19,188
2009-02-20,159
2009-02-21,121
2009-02-22,90
2009-02-23,76
2009-02-24,66
2009-02-25,160
2009-02-27,397
2010-01-28,8
2010-01-31,229
2010-02-01,532
2010-02-02,475
2010-02-03,342
2010-02-05,144
2010-02-08,82
2010-02-09,97
2010-02-10,122
2010-02-11,184
2010-02-15,81
2010-02-16,83
2010-02-17,94
2010-02-18,206
2010-02-19,510
2010-02-22,313
2010-02-23,292
2010-02-24,298
2010-02-26,208
2010-03-01,127
2010-03-04,93
2010-03-08,45
2010-03-09,47
2010-03-10,125
2010-03-11,179
2010-03-12,61
2010-03-15,41
2010-03-16,29
2010-03-17,37
2010-03-18,46
2010-03-19,29
2010-03-22,159
2010-03-22,1610
2010-03-22,2300
2010-03-22,1750
2010-03-23,674
2010-03-23,488
2010-03-24,168
2010-03-24,267
2010-03-25,129
2010-03-26,66
2010-03-29,39
2010-03-30,41
2010-03-31,33
2010-04-01,31
2010-10-08,7
2010-10-11,8
2010-10-12,17
2010-10-13,48
2010-10-14,32
2010-10-15,23
2010-10-17,12
2010-10-20,13
2010-10-21,11
2010-10-22,8
2010-10-25,11
2010-11-01,11
2010-11-08,10
2010-11-15,25
2010-11-16,17
2010-11-17,90
2010-11-18,104
2010-11-19,195
2010-11-19,438
2010-11-20,746
2010-11-20,604
2010-11-21,352
2010-11-21,186
2010-11-22,175
2010-11-22,84
2010-11-23,89
2010-11-25,82
2010-11-26,74
2010-11-27,57
2010-11-28,60
2010-11-29,46
2010-12-01,41
2010-12-02,400
2010-12-03,272
2010-12-03,220
2010-12-04,578
2010-12-05,328
2010-12-06,91
2010-12-07,56
2010-12-08,109
2010-12-09,98
2010-12-10,207
2010-12-12,69
2010-12-12,48
2010-12-13,170
2010-12-13,306
2010-12-14,414
2010-12-14,388
2010-12-15,139
2010-12-16,104
2010-12-17,71
2010-12-20,71
2010-12-21,504
2010-12-22,226
2010-12-23,134
2010-12-24,96
2010-12-25,164
2010-12-25,1260
2010-12-26,404
2010-12-26,368
2010-12-27,478
2010-12-27,426
2010-12-27,424
2010-12-28,308
2010-12-28,342
2010-12-28,344
2010-12-29,380
2010-12-29,270
2010-12-30,296
2010-12-31,324
2011-01-01,196
2011-01-02,148
2011-01-03,166
2011-01-04,168
2011-01-05,158
2011-01-06,74
2011-01-07,52
2011-01-10,65
2011-01-11,71
2011-01-14,35
2011-01-17,32
2011-01-20,704
2011-01-21,193
2011-01-24,158
2011-01-31,54
2011-02-07,284
2011-02-08,235
2011-02-10,123
2011-02-14,73
2011-02-22,40
2011-03-10,131
2011-03-14,109
2011-03-15,106
2011-03-16,187
2011-03-17,101
2011-03-18,78
2011-03-21,60
2011-03-22,51
2011-03-23,55
2011-03-24,61
2011-03-25,57
2011-03-28,182
2011-03-30,201
2011-03-31,200
2011-04-01,165
2011-04-04,115
2011-04-06,68
2011-04-11,43
2011-04-18,18
2011-10-05,4
2011-12-19,6
2011-12-30,4
2012-01-05,3
2012-01-12,5
2012-01-16,5
2012-01-17,16
2012-01-17,11
2012-01-18,7
2012-01-19,48
2012-01-20,126
2012-01-24,43
2012-01-27,44
2012-01-31,71
2012-02-03,111
2012-02-06,137
2012-02-07,146
2012-02-08,82
2012-02-09,58
2012-02-13,21
2012-02-15,16
2012-02-17,14
2012-02-21,9
2012-02-24,11
2012-02-27,11
2012-03-01,31
2012-03-06,7
2012-03-06,8
2012-03-08,359
2012-03-09,220
2012-03-12,31
2012-03-15,14
2012-03-16,19
2012-03-18,95
2012-03-19,292
2012-03-20,387
2012-03-20,450
2012-03-20,343
2012-03-21,548
2012-03-21,673
2012-03-22,763
2012-03-23,461
2012-03-24,152
2012-03-25,166
2012-03-26,108
2012-03-28,49
2012-03-30,42
2012-04-02,65
2012-04-05,17
2012-04-11,5
2012-04-17,6
2012-04-26,4
2012-05-01,45
2012-05-22,4
2012-06-28,3
2012-07-13,6
2012-07-16,76
2012-07-17,127
2012-11-02,2
2012-11-22,10
2012-12-20,1
2013-01-18,3
2013-01-24,231
2013-01-25,660
2013-01-25,1630
2013-01-27,495
2013-01-29,79
2013-01-31,77
2013-02-09,13
2013-02-19,59
2013-02-20,31
2013-02-20,135
2013-02-22,79
2013-02-24,251
2013-02-26,54
2013-02-28,13
2013-03-04,60
2013-03-06,635
2013-03-08,224
2013-03-11,27
2013-03-15,14
2013-04-22,5
2013-05-21,10
2013-06-18,6
2013-10-27,6
2013-11-24,12
2013-12-19,1
2013-12-20,5
2014-01-16,3
2014-01-31,3
2014-02-01,1
2014-02-02,150
2014-02-03,117
2014-02-04,47
2014-02-20,202
2014-02-21,212
2014-02-24,32
2014-03-27,11
2014-03-28,35
2014-03-30,19
2014-04-11,10
2014-04-14,244
2014-04-15,124
2014-04-16,54
2014-05-08,12
2014-06-11,5
2014-07-09,2
2014-08-07,4
2014-09-10,2
2014-10-06,4
2014-11-03,2
2014-11-30,5
2014-12-14,13
2014-12-14,61
2014-12-14,90
2014-12-15,281
2015-01-04,8
2015-01-05,13
2015-01-08,6
2015-01-23,21
2015-01-24,1860
2015-01-25,918
2015-01-29,146
2015-02-19,5
2015-03-24,4
2015-04-27,3
2015-05-25,4
2015-07-25,2
2015-08-25,1
2015-10-06,2
2015-10-28,2
2015-11-23,1
2015-12-18,2
2016-01-05,125
2016-01-06,82
2016-01-20,4
2016-02-05,12
2016-02-06,772
2016-02-07,410
2016-02-08,3010
2016-02-09,1480
2016-02-11,281
2016-02-24,10
2016-03-08,24
2016-03-20,9
2016-03-21,28
2016-03-21,35
2016-03-22,128
2016-03-23,158
2016-03-24,147
2016-03-25,121
2016-03-26,131
2016-03-27,154
2016-03-29,160
2016-04-05,47
2016-04-27,14
2016-05-25,9
2016-06-22,195
2016-06-23,252
